Class,A1x_1,A1y_1,A1z_1,G1x_1,G1y_1,G1z_1,A2x_1,A2y_1,A2z_1,G2x_1,G2y_1,G2z_1,A3x_1,A3y_1,A3z_1,G3x_1,G3y_1,G3z_1,A4x_1,A4y_1,A4z_1,G4x_1,G4y_1,G4z_1,A1x_2,A1y_2,A1z_2,G1x_2,G1y_2,G1z_2,A2x_2,A2y_2,A2z_2,G2x_2,G2y_2,G2z_2,A3x_2,A3y_2,A3z_2,G3x_2,G3y_2,G3z_2,A4x_2,A4y_2,A4z_2,G4x_2,G4y_2,G4z_2
Calcio,2.3759,4.7278,12.6744,-3.6536,7.4891,6.5266,-6.2968,19.5271,9.4763,-8.9926,0.8188,-5.8562,-6.2624,1.4128,-1.9566,0.3427,2.4083,1.0738,1.7198,0.5406,-1.5421,0.8732,-0.2985,-1.9129,-9.1873,10.8734,5.111,17.0659,11.9327,11.7699,5.8993,11.7938,-6.1962,-0.7135,7.6854,-6.766,-5.8995,7.4996,-0.6678,2.146,-0.4406,-0.6912,2.924,3.3528,-3.4194,0.29,1.3143,-0.7354
Calcio,-9.1873,10.8734,5.111,17.0659,11.9327,11.7699,5.8993,11.7938,-6.1962,-0.7135,7.6854,-6.766,-5.8995,7.4996,-0.6678,2.146,-0.4406,-0.6912,2.924,3.3528,-3.4194,0.29,1.3143,-0.7354,-4.8619,14.9306,27.0685,-12.129,10.5249,-1.8244,16.2949,15.9693,-10.908,-3.5626,9.323,-7.5322,-6.9638,1.2207,0.265,0.067,-1.7778,0.4826,2.3652,4.6523,-6.2443,0.3012,2.6818,-0.9919
Calcio,-4.8619,14.9306,27.0685,-12.129,10.5249,-1.8244,16.2949,15.9693,-10.908,-3.5626,9.323,-7.5322,-6.9638,1.2207,0.265,0.067,-1.7778,0.4826,2.3652,4.6523,-6.2443,0.3012,2.6818,-0.9919,-7.7072,6.9216,14.3318,2.6001,11.6502,3.3471,-1.1827,6.541,-22.2661,-3.2944,16.9126,-0.6273,-5.004,7.8284,-0.3618,1.1568,4.5517,1.3015,-3.6785,1.2425,-2.4185,1.2893,7.2426,-3.621
Calcio,-7.7072,6.9216,14.3318,2.6001,11.6502,3.3471,-1.1827,6.541,-22.2661,-3.2944,16.9126,-0.6273,-5.004,7.8284,-0.3618,1.1568,4.5517,1.3015,-3.6785,1.2425,-2.4185,1.2893,7.2426,-3.621,16.2718,18.0584,10.4854,-4.9656,10.1418,3.3615,4.0127,10.6303,-19.9293,-15.2559,-3.5865,-8.4803,-1.607,6.0081,-2.6755,1.1696,3.7152,1.4681,0.7263,-0.0937,-10.3725,1.4702,10.1836,-7.001
Calcio,16.2718,18.0584,10.4854,-4.9656,10.1418,3.3615,4.0127,10.6303,-19.9293,-15.2559,-3.5865,-8.4803,-1.607,6.0081,-2.6755,1.1696,3.7152,1.4681,0.7263,-0.0937,-10.3725,1.4702,10.1836,-7.001,-23.1407,10.3417,12.6601,-10.2951,6.0621,16.9653,4.64,-9.6151,5.454,9.8497,9.1794,1.3264,2.8989,-0.9759,-0.1176,-0.2469,9.6137,3.0682,1.26,-6.4061,-8.3802,-1.3292,-0.1873,0.1043
Calcio,-23.1407,10.3417,12.6601,-10.2951,6.0621,16.9653,4.64,-9.6151,5.454,9.8497,9.1794,1.3264,2.8989,-0.9759,-0.1176,-0.2469,9.6137,3.0682,1.26,-6.4061,-8.3802,-1.3292,-0.1873,0.1043,6.3372,-0.9676,-7.1659,15.5096,4.2808,-1.8914,-13.1825,21.7729,-6.2297,16.86,6.7564,3.8738,-3.1767,-6.5551,2.552,2.3876,-2.3158,1.756,-4.284,2.3471,-11.6921,-1.0052,0.4528,-0.7567
Calcio,6.3372,-0.9676,-7.1659,15.5096,4.2808,-1.8914,-13.1825,21.7729,-6.2297,16.86,6.7564,3.8738,-3.1767,-6.5551,2.552,2.3876,-2.3158,1.756,-4.284,2.3471,-11.6921,-1.0052,0.4528,-0.7567,-28.084,15.0982,-0.5604,-3.4572,13.5608,5.8131,82.0541,6.7086,58.1264,-1.5036,9.4284,-0.182,-0.9748,-7.8396,0.5741,-0.3347,1.7405,-0.4454,5.4446,17.4357,4.2824,-0.513,-0.4746,0.2841
Calcio,-28.084,15.0982,-0.5604,-3.4572,13.5608,5.8131,82.0541,6.7086,58.1264,-1.5036,9.4284,-0.182,-0.9748,-7.8396,0.5741,-0.3347,1.7405,-0.4454,5.4446,17.4357,4.2824,-0.513,-0.4746,0.2841,-5.8822,6.2558,-1.5951,11.7843,2.1404,11.0229,-3.0837,-3.5147,-4.7692,0.4453,9.8545,-4.707,-1.466,-1.3707,1.5155,0.7886,-0.2033,0.6486,4.8459,1.9662,1.11,0.1889,0.2501,0.1368
Calcio,-5.8822,6.2558,-1.5951,11.7843,2.1404,11.0229,-3.0837,-3.5147,-4.7692,0.4453,9.8545,-4.707,-1.466,-1.3707,1.5155,0.7886,-0.2033,0.6486,4.8459,1.9662,1.11,0.1889,0.2501,0.1368,-11.0698,6.1744,0.0719,-1.7813,12.6031,5.0518,-8.3941,-17.7123,-2.2601,0.4022,8.3031,-3.9887,0.5624,-4.814,1.7597,0.074,-0.4422,0.1575,-0.7758,4.9327,2.4291,0.5007,1.7352,-0.5928
Calcio,-11.0698,6.1744,0.0719,-1.7813,12.6031,5.0518,-8.3941,-17.7123,-2.2601,0.4022,8.3031,-3.9887,0.5624,-4.814,1.7597,0.074,-0.4422,0.1575,-0.7758,4.9327,2.4291,0.5007,1.7352,-0.5928,-7.3671,7.87,0.1677,-0.9337,11.6023,3.2322,-7.8721,-2.9736,-6.9863,-1.1492,8.0397,-4.2329,-0.1389,-0.0835,1.657,-0.472,-0.4422,0.2932,-3.1315,2.0321,1.2819,0.2496,0.7482,-0.248
